用户ID,昵称,评论内容,点赞数
289986683,削支铅笔芯给你,你只要动动手指，急于解释的粉丝就落入陷阱。果然，这个世界，病态得不止一点点。总说他用力过猛，一个如此澄澈之人，大概是比不上你们做键盘侠时的云淡风轻…,2501
﻿用户ID,昵称,评论内容,点赞数
83244606,新垣義馬,"记得在书上曾经看过  往左边侧着睡是最不对的睡法   因为压迫心脏   容易引起噩梦
不过后来我经常这样侧着睡
不是我没有做噩梦
而是因为





每次的梦里都有你",114464
263835978,如青稞,因为离校手续出了问题，我自己留在宿舍打游戏。室友一个个的离去，开始也没觉得怎样，游戏从早上打到下午，点外卖的时候习惯性问室友吃什么，结果回头空荡荡的宿舍只有自己。夕阳从外照进来像是午觉突然醒了，孤独在黄昏里跳动，心脏像是挨了一记闷拳。孤独就像人说的那样，最后走的人关门最轻。,80451
15587359,三茶姑娘,微笑不露声色的张扬！说的是达康书记吧23333[大哭][大哭][大哭],46796
113767914,几位开心,高考失手来了一所很差的本科大学。学费很贵，很心疼妈妈。室友全是来混日子的，每次在寝室里学习都会面临讽刺……但是，我还是选择考研，我一定要考上梦寐以求的大学。希望2020的我对得起这条留言[大笑],39086
394054330,程烨i,"我想跟你一起去看五月的海，
在六月的暖风里奔跑，
撑着伞走过七月的雨夜，
而我只是在四月的早晨醒来，

想起你。",35808
443795649,Jam的眼睫毛,"喝一碗西苑冷汤
多么潇洒而昂扬
我伫立七月上
凝望南瓜饼子店的灯光
好想为你歌唱
但我不会山高水长
因为我喜欢你
所以这并不悲伤",28543
114065656,金克丝的威猛先生,小孩眺望远方，成人怀念故乡，我们从挣扎着松绑到思念的投降，大概这就是成长,27703
267929172,思凡思心,已经听了60遍了，这哪是歌，根本是一碗酒,26063
257038289,许文杰i,小学时和同学老师打雪仗，不知是不是下手太重了，老师蹲在地上哭了起来，那时候就在想老师太不经打了，以前你用尺子打手我也没哭过呢。许多年后回忆起这件事忽然明白，也许她不是被打哭的。白茫茫的雪地中和一群单纯的孩子追逐打闹，她一定是被这景象触动了吧。毕竟在这个年纪不会再有人陪你打雪仗了。,24026
330020508,帐号已注销,明明知道没有结果 却还有坚持下去的冲动 我知道遇到你不容易 错过了会很可惜[皱眉],19445
103780233,雾与晨,生活在这声色犬马的世界，你总是不露声色的歌唱。在我眼里不张扬，不露声色才是你的本色。,16978
400867211,talktome_,"我妈爱了我二十年我还跟她吵架
你不过爱了我几个月我就跟你低头服软
我对不起我妈  你也对不起我",15887
250155251,无子期,"我想去见你
在你生活过的城市开一家店
叫渡情
这家店只放张国荣民谣古风
这家店只卖咖啡和茶
这家店只会有白绿相间的装饰
这家店的我只等你
这家店只有一家
这家店……将来它会在苏州
现在我十八岁，二十八岁我就开。",13657
316273059,浅唱_格调,高中毕业后，上了一所不知名的大专，在学校很努力，连续两年拿到了国奖，如今毕业后工作一段时间准备考研，不敢告诉亲戚，因为告诉后会有无尽的怀疑与唏嘘。即便这条路再怎样孤寂，身后空无一人，也要含泪走下去！希望2019年对得起这条留言！,13229
349905661,一年后再见我,东野圭吾说：曾经拥有的东西失去了，并不代表就会回到原来没有那种东西的时候,12954
﻿用户ID,昵称,评论内容,点赞数
42268586,镇安府土孩,“像被子里的舒服，又像风捉摸不住”不是屁是什么？[呆],400629
30786877,神棍伽利略,姐妹篇——我的滑板鞋。像爱不释手的 红色滑板鞋。,125658
5227351,顾小古,当初喜欢一个女孩子，不敢表白，最后和另一个女孩在一起，后来知道那个女孩也喜欢我，呵呵，疯狂却怕没有退路,112233
124856292,墨染云峰,七年前第一次遇到她，从此心里就永远印上了她的影子。那时我在美国，她在北京，找了好多喜欢的英文歌发给她，好多歌曲都带有自己的注释，她也给我回了好多首，第一首就是它。听着这首歌，想着她的一颦一笑，眼泪不自觉的就会流下来。如今我也来到了北京，她应该就要嫁人了吧。七年了，我再也没有见过她,85924
109658042,黑人不怕紫外线,刚上大学那年谈了一场异地恋，刚巧她生日前我又穷困潦倒的像狗一样，还是坚定的找哥们借了三百块钱，挑了一双玫瑰红的高跟鞋，我知道她三十八码，偏偏挑了双三十六码，就是让她一直记得曾有人送给她一双好看而不能穿的鞋,61340
41822974,夫子不语,高一的时候学校每天中午放学都放，导致现在一听这歌就想就想向外冲,32542
45344048,糟糕外星人,愿你有高跟鞋也有跑鞋，喝茶也喝酒。愿你有勇敢的朋友，牛逼的对手。愿你对过往的一切情深意重，但从不回头。愿你特别美丽，特别平静，特别凶狠，也特别温柔。,32392
71955713,气chuan吁吁,李荣浩的老街，蔡健雅的红色高跟鞋，孙燕姿的遇见，陈奕迅说好久不见，可以组成美美的一幅画,27332
44454186,大脸爱小脸,高三那会，我跟我的初恋互相暗恋一年，她最爱的歌曲。高考后我跟她表白，直到现在。我们很好，准备16年结婚纪念我们的7年之痒,20808
2865902,帐号已注销,可是，我没有高跟鞋。我更没有红色高跟鞋。[撇嘴],18507
550990308,Anoxia170726,3年前是一个不起眼的兵，你是一个无数人羡慕的白领，就这样我们相恋，3年后，我还是那个不起眼的兵，你已是别人怀里的宠儿，无数次试想是不是我不够好，但我必须守护国家的领土，无数次在青藏高原的山上看日出回忆着你说的我不关心你，也许是我的错，但我不后悔，因为我有更多人需要守护。[爱心],16378
561520874,CashvsKeNsRemix,我怀疑月老拿着我的红线去织秋裤了,13215
50104271,Mr_小刘同学,98年，两小无猜。04年，传纸条。08年，深吻了。13年，你结婚我未婚。15年，你离婚致电给我。7月我醉了一宿。,12655
487830971,卡布其诺之恋,我谈了一场恋爱，对着手机哭，对着手机笑，最后分手了也没能抱一抱[哀伤][哀伤][哀伤],10250
564067301,棹顾,"""原来成年人的感情
是不追问 是不解释
是心照不宣 是突然走散
是自然消减 是一种冰冷的默契"" ​​​",10247
